p11-kit 0.24.1-1.2
pacman 6.0.2-5.1
pacman-cleanup-hook 1.1-1
pacman-contrib 1.8.0-1.1
pacman-mirrorlist 20221016-1
pacseek-bin 1.7.5-1
pacutils 0.11.1-1.1
pahole 1:1.24-1.1
pam 1.5.2-1.1
pambase 20221020-1
pamixer 1.6-2.1
pandoc-bin 2.19.2-1
pango 1:1.50.11-1.1
pangomm 2.46.3-1.1
papirus-icon-theme 20221101-1
parted 3.5-1.1
pass-git 1:1.7.4.r10.gdddca73-1
pass-import 3.3-1
patch 2.7.6-8.1
pavucontrol 1:5.0+r61+gee77d86-2.1
pciutils 3.8.0-2.1
pcmanfm-gtk3 1.3.2-1.1
pcre 8.45-3.1
pcre2 10.40-3.1
pdfjs 2.16.105-1
perl 5.36.0-1
perl-error 0.17029-4
perl-file-which 1.27-2
perl-mailtools 2.21-6
perl-timedate 2.33-4
picard 2.8.3-1.1
pinentry 1.2.1-1.2
piper 0.7-1
pipewire 1:0.3.59-5.1
pipewire-alsa 1:0.3.59-5.1
pipewire-audio 1:0.3.59-5.1
pipewire-pulse 1:0.3.59-5.1
pixman 0.42.2-1.1
pkgconf 1.8.0-1.1
pkgstats 3.2.6-1.1
playerctl 2.4.1-2.1
polkit 122-1.1
poppler 22.11.0-1.1
poppler-data 0.4.11-2
poppler-glib 22.11.0-1.1
popt 1.18-3.1
portaudio 1:19.7.0-1.1
portmidi 236-1.1
potrace 1.16-2.1
powertop 2.15-1.1
procps-ng 3.3.17-1.1
progsreiserfs 0.3.0.5-10
proselint 0.13.0-1
protobuf 21.9-1.1
protobuf-c 1.4.1-1.1
psmisc 23.5-1.1
pugixml 1.12.1-1.1
pwgen 2.08-2.1
pyright 1.1.278-1
python 3.10.8-3.1
python-adblock 0.6.0-1
python-aiohttp 3.8.3-1.1
python-aiosignal 1.2.0-3
python-anyio 3.6.2-1
python-anytree 2.8.0-5
python-apipkg 3.0.1-1
python-appdirs 1.4.4-7
python-async-timeout 4.0.2-1
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-babel 2.11.0-1
python-beaker 1.11.0-8
python-beautifulsoup4 4.11.1-1
python-biscuits 0.3.0-1.1
python-black 22.10.0-1
python-bowler 0.9.0-5
python-build 0.9.0-1
python-cachecontrol 1:0.12.11-1
python-cachy 0.3.0-8
python-cairo 1.21.0-1.1
python-casttube 0.2.1-4
python-cerberus 1.3.4-4
python-certifi 2022.09.24-1
python-cffi 1.15.1-1.1
python-chardet 5.0.0-1
python-charset-normalizer 3.0.0-1
python-cleo 1.0.0a5-2
python-click 8.1.3-1
python-clikit 0.6.2-8
python-colorama 0.4.6-1
python-commonmark 0.9.1-5
python-contextlib2 21.6.0-1
python-crashtest 0.4.1-1
python-cryptography 38.0.3-1
python-cssselect 1.2.0-1
python-dateutil 2.8.2-4
python-dephell 0.8.3-7
python-dephell-archive 0.1.7-2
python-dephell-argparse 0.1.3-5
python-dephell-changelogs 0.0.1-6
python-dephell-discover 0.2.10-6
python-dephell-licenses 0.1.7-6
python-dephell-links 0.1.5-2
python-dephell-markers 1.0.3-2
python-dephell-pythons 0.1.15-4
python-dephell-shells 0.1.5-3
python-dephell-specifier 0.2.2-5
python-dephell-venvs 0.1.18-2
python-dephell-versioning 0.1.2-5
python-discid 1.2.0-7
python-distlib 0.3.6-1
python-distro 1.8.0-1
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-docutils 1:0.19-2
python-dulwich 0.20.50-1.1
python-entrypoints 0.4-2
python-evdev 1.6.0-1.1
python-exceptiongroup 1.0.1-1
python-fasteners 0.17.3-1
python-filelock 3.8.0-1
python-fissix 21.11.13-1
python-frozenlist 1.3.1-1.1
python-future 0.18.2-7
python-gobject 3.42.2-1.1
python-h11 0.14.0-1
python-html5lib 1.1-11
python-httpcore 0.15.0-1
python-httplib2 0.21.0-1
python-httpx 0.23.0-2
python-i3ipc 2.2.1-3
python-idna 3.4-1
python-ifaddr 0.2.0-1
python-imagesize 1.4.1-2
python-importlib-metadata 5.0.0-1
python-inflect 6.0.2-1
python-iniconfig 1.1.1-5
python-install 0.0.3-3
python-installer 0.5.1-1
python-isort 5.10.1-6
python-isounidecode 0.3-3
python-itsdangerous 2.1.2-2
python-jaraco.classes 3.2.3-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.10.0-1
python-jeepney 0.8.0-1
python-jinja 1:3.1.2-2
python-jsonpointer 2.3-1
python-jsonschema 4.17.0-1
python-keyring 23.9.3-1
python-keyutils 0.6-8.1
python-lark-parser 1.1.4-1
python-lockfile 0.12.2-11
python-lxml 4.9.1-1.1
python-mako 1.2.3-1
python-markdown 3.4.1-2
python-markupsafe 2.1.1-1.1
python-marshmallow 3.18.0-1
python-mistune1 0.8.4-4
python-mock 3.0.5-9
python-more-itertools 9.0.0-1
python-moreorless 0.4.0-3
python-msgpack 1.0.4-1.1
python-multidict 6.0.2-1.1
python-musicbrainzngs 0.7.1-5
python-mutagen 1.46.0-1
python-mypy_extensions 0.4.3-5
python-natsort 8.2.0-1
python-netifaces 0.11.0-3.1
python-nose 1.3.7-14
python-nspektr 0.4.0-2
python-numpy 1.23.4-1.1
